70,5775,1
70,6705,1
74,0,2
102,0,1
108,6548,1
108,9234,1
110,0,1
110,6827,1
110,7320,3
136,6827,1
136,8687,1
136,8704,1
136,9234,1
170,0,2
172,0,1
176,0,1
178,0,1
186,0,1
198,5775,1
198,7086,1
200,0,1
210,8019,1
212,0,1
212,6647,1
212,6705,1
212,8687,1
212,8809,1
212,14944,2
220,0,1
236,0,1
236,12709,2
242,0,1
244,5775,2
270,0,1
276,0,2
278,0,1
282,0,1
290,0,1
316,0,1
316,7320,1
316,7571,1
316,7935,1
316,8011,1
316,8380,1
316,8556,1
316,9217,1
316,9283,1
318,0,1
320,0,1
322,0,1
350,8687,2
354,0,1
372,0,1
378,0,1
384,0,1
386,6548,1
398,0,1
398,8704,1
402,0,1
406,0,1
412,0,1
412,8687,1
414,8687,1
430,0,2
440,0,1
450,0,1
472,10888,2
478,0,1
502,6706,1
502,7957,1
564,7160,1
566,0,3
610,6705,1
610,8380,1
610,9283,1
624,6677,3
632,8011,1
632,8019,1
644,9429,1
646,9234,1
662,5763,1
684,0,2
734,0,2
736,6706,1
752,0,1
754,5717,1
754,7935,1
760,5717,2
772,7935,1
772,9217,2
772,10888,1
826,0,1
826,6548,1
826,6677,3
826,6706,2
832,7672,1
832,8380,1
832,9234,1
832,9260,4
834,6677,1
834,7320,2
852,7160,1
872,6548,1
872,7160,1
872,7527,5
872,7571,1
874,5775,2
874,6548,1
1034,5717,1
1070,0,1
1118,6705,1
1142,0,1
1142,7308,1
1150,6548,3
1150,7308,1
1150,8687,2
1150,9283,4
1150,9429,1
1182,6647,1
1182,7571,1
1196,6705,1
1206,8704,1
1206,8809,2
1206,9283,1
1220,7527,1
1220,8161,1
1220,8556,1
1288,6548,1
1288,6647,6
1288,6677,1
1288,6705,2
1288,6827,1
1288,7308,2
1288,7345,8
1288,7527,1
1288,7571,1
1288,7672,3
1288,7693,1
1288,7957,1
1288,8011,1
1288,8329,5
1288,8687,1
1294,0,1
1312,0,1
1356,5763,1
1356,6548,1
1356,6677,2
1356,6706,3
1356,6827,2
1356,7086,1
1356,7160,2
1356,8019,1
1356,8161,1
1356,8556,1
1356,8687,1
1356,8704,1
1356,8809,1
1372,0,1
1388,7693,1
1408,0,1
1422,5763,1
1422,8161,2
1422,10888,1
1436,6647,2
1458,0,1
1494,7935,2
1494,8687,1
1544,6548,2
1544,7672,1
1574,6827,1
1584,6548,1
1614,7308,3
1628,7527,1
1674,6548,1
1676,6548,1
1696,7086,1
1696,7160,1
1696,8161,2
1696,9234,1
1696,9260,1
1744,7527,1
1744,8011,1
1744,8556,1
1744,8809,2
1744,9283,1
1744,9429,1
1744,12709,2
1776,14944,1
1786,7345,1
1846,8019,1
1850,0,1
1856,6705,1
1880,6548,1
1882,0,2
1926,5717,1
1926,7693,2
1926,9260,1
1932,6677,1
1938,7935,1
1942,8011,1
1954,5763,1
1954,6827,1
1966,8687,1
1978,5763,1
1986,0,1
2048,8704,1
2076,7086,1
2082,14311,1
2098,8184,1
2098,8380,1
2102,8687,1
2102,12709,3
2102,14311,1
2106,10888,1
2116,14311,1
2132,0,1
2148,8184,3
2148,14311,1
2162,0,1
2162,7320,1
2162,8556,1
2168,5763,1
2178,0,3
2206,14311,1
2236,7571,2
2238,0,2
2290,0,1
2296,8687,1
2360,8011,1
2400,14311,2
2416,7086,2
2416,7160,2
2416,7320,3
2416,7672,1
2416,7693,4
2462,0,1
2480,0,2
2536,7160,4
2548,8687,4
2548,14311,1
2564,7935,1
2564,7957,3
2570,8556,1
2640,7935,1
2686,7527,1
2686,7571,1
2692,7345,8
2692,8184,1
2704,8019,1
2734,8329,1
2788,8011,1
2844,7957,1
2888,0,1
2896,0,1
2906,8704,1
2922,0,1
2938,0,1
2990,0,1
3002,0,1
3046,0,1
3090,9283,1
3164,0,1
3180,14311,1
3192,14944,1
3196,7693,1
3196,7935,1
3196,8329,4
3196,8687,1
3208,7693,2
3220,9429,1
3238,7693,1
3238,8184,2
3240,0,1
3240,8380,2
3276,8329,3
3280,0,1
3286,5717,1
3314,0,1
3332,0,1
3354,0,1
3364,8380,2
3374,0,1
3376,0,1
3378,0,1
3392,0,1
3398,9234,1
3398,9260,1
3404,0,2
3408,0,1
3414,0,1
3420,0,1
3426,0,1
3428,0,1
3436,7345,1
3436,9217,3
3440,0,1
3442,0,1
3450,0,1
3456,0,3
3456,8687,1
3456,14944,2
3462,8161,1
3464,0,1
3466,0,1
3468,0,1
3470,0,1
3478,0,1
3482,0,1
3492,0,1
3504,0,1
3506,0,1
3514,0,1
3516,0,1
3526,0,1
3538,0,1
3540,0,1
3542,0,1
3554,0,1
3556,0,1
3560,0,1
3568,0,2
3572,0,1
3574,0,1
3578,0,1
3586,0,1
3590,0,1
3592,0,1
3596,0,1
3600,0,1
3602,0,1
3606,0,1
3618,0,1
3628,0,1
3630,0,1
3632,0,1
3636,0,1
3642,0,1
3644,0,1
3652,0,1
3654,0,1
3656,0,1
3660,0,1
3664,0,1
3666,0,1
3670,0,1
3674,0,1
3680,0,1
3680,8809,1
3680,9283,1
3680,10888,2
3680,12709,1
3682,0,1
3688,0,1
3702,0,1
3704,0,1
3710,0,1
3720,0,1
3722,0,1
3730,0,1
3732,0,1
3736,0,2
3738,0,1
3740,0,1
3744,0,1
3758,0,1
3760,0,1
3760,8704,1
3768,0,1
3770,0,1
3776,0,1
3778,0,1
3780,0,1
3784,0,1
3790,0,1
3798,0,1
3800,0,1
3806,0,2
3808,0,1
3810,0,1
3812,0,1
3814,0,1
3818,0,1
3820,0,1
3822,0,1
3826,0,1
3828,0,1
3832,0,1
3834,0,1
3846,0,1
3848,0,1
3850,0,1
3852,0,1
3858,9429,5
3864,0,1
3864,10888,3
3866,0,1
3868,0,1
3870,0,1
3872,0,1
3876,0,1
3878,0,1
3886,0,1
3890,0,1
3896,0,1
3898,0,1
3900,0,1
3902,0,1
3904,0,1
3910,0,1
3916,0,1
3918,0,1
3926,0,1
3932,0,1
3942,0,1
3952,0,1
3956,0,1
3958,0,1
3962,0,1
3966,0,1
3968,0,1
3972,0,1
3976,0,1
3978,0,1
3982,0,1
3984,0,1
3988,0,3
3990,0,1
3994,0,1
3998,0,1
4002,0,1
4004,0,1
4022,0,1
4024,0,1
4026,0,1
4030,0,1
4036,0,1
4038,0,1
4040,0,2
4042,0,1
4052,0,2
4054,0,1
4066,0,1
4080,0,1
4082,0,1
4086,0,1
4092,0,1
4104,0,3
4108,0,1
4112,0,1
4116,0,4
4122,0,1
4124,0,1
4126,0,1
4130,0,1
4132,0,1
4136,0,2
4148,0,1
4152,0,1
4158,0,1
4164,0,1
4168,0,1
4176,0,1
4180,0,1
4182,0,1
4190,0,1
4196,0,1
4200,0,1
4202,0,1
4204,0,1
4214,0,1
4222,0,2
4222,14944,1
4228,0,2
4232,0,1
4234,0,1
4244,0,1
4248,0,1
4250,0,1
4252,0,2
4256,0,1
4258,0,1
4260,0,1
4266,0,1
4272,0,1
4274,0,2
4280,0,1
4286,0,1
4288,0,1
4290,0,1
4292,0,1
4294,0,1
4296,0,1
4302,0,1
4306,0,2
4312,0,1
4318,0,1
4324,0,1
4326,0,2
4328,0,1
4338,0,1
4342,0,1
4346,0,2
4348,0,1
4356,0,2
4362,0,1
4366,0,2
4370,0,1
4374,0,1
4376,0,1
4378,0,1
4380,0,1
4382,0,1
4384,0,2
4396,0,1
4400,0,1
4402,0,1
4410,0,1
4412,0,1
4416,0,3
4420,0,1
4430,0,3
4438,0,2
4440,0,1
4444,0,1
4456,0,1
4458,0,1
4460,0,1
4462,0,2
4464,0,1
4478,0,1
4488,0,1
4508,0,1
